date,time,temp,hum
2021 10 16,0:23:39,29.9,85.6
2021 10 16,0:23:55,29.9,85.6
2021 10 16,0:24:11,29.9,85.6
2021 10 16,0:24:29,29.9,85.7
2021 10 16,0:25:04,29.9,85.7
2021 10 16,0:25:20,29.9,85.7
2021 10 16,0:25:35,29.9,85.8
2021 10 16,0:25:51,29.9,85.8
2021 10 16,0:26:07,29.9,85.9
2021 10 16,0:26:27,29.9,86
2021 10 16,0:26:43,29.9,86
2021 10 16,0:26:58,29.9,86
2021 10 16,0:27:14,29.9,86
2021 10 16,0:27:29,29.9,86.1
2021 10 16,0:27:45,29.9,86
2021 10 16,0:28:00,29.9,86.1
2021 10 16,0:28:16,29.9,86.1
2021 10 16,0:28:34,29.9,86.2
2021 10 16,0:43:18,29.9,86.5
2021 10 16,0:43:39,29.9,86.4
2021 10 16,0:43:59,29.9,86.4
2021 10 16,0:44:17,29.9,86.4
2021 10 16,0:44:35,29.9,86.4
2021 10 16,0:44:54,29.9,86.4
2021 10 16,0:45:09,29.9,86.4
2021 10 16,0:45:25,30,86.5
2021 10 16,0:45:50,29.9,86.3
2021 10 16,0:46:13,29.9,86.3
2021 10 16,0:46:29,29.9,86.3
2021 10 16,0:46:52,29.9,86.4
2021 10 16,0:47:13,29.9,86.5
2021 10 16,0:47:28,29.9,86.5
2021 10 16,0:48:01,29.9,86.3
2021 10 16,0:48:20,29.9,86.3
2021 10 16,0:48:40,29.9,86.3
2021 10 16,0:48:56,29.9,86.3
2021 10 16,0:49:16,29.9,86.3
2021 10 16,0:49:32,29.9,86.3
2021 10 16,0:49:57,29.9,86.3
2021 10 16,0:50:16,29.9,86.3
2021 10 16,0:50:34,29.9,86.5
2021 10 16,0:50:49,30,86.4
2021 10 16,0:51:05,29.9,86.3
2021 10 16,0:51:20,30,86.4
2021 10 16,0:51:38,29.9,86.4
2021 10 16,0:51:56,30,86.4
2021 10 16,0:52:12,29.9,86.3
2021 10 16,0:52:27,29.9,86.4
2021 10 16,0:52:43,30,86.5
2021 10 16,0:52:59,29.9,86.4
2021 10 16,0:53:14,29.9,86.4
2021 10 16,0:53:37,29.9,86.4
2021 10 16,0:53:53,29.9,86.5
2021 10 16,0:54:13,30,86.5
2021 10 16,0:54:29,29.9,86.4
2021 10 16,0:54:44,29.9,86.4
2021 10 16,0:55:10,30,86.5
2021 10 16,0:55:31,30,86.6
2021 10 16,0:55:49,30,86.5
2021 10 16,0:56:04,29.9,86.5
2021 10 16,0:56:30,29.9,86.5
2021 10 16,0:56:45,29.9,86.5
2021 10 16,0:57:06,29.9,86.5
2021 10 16,0:57:22,29.9,86.5
2021 10 16,0:58:05,30,86.6
2021 10 16,0:58:28,30,86.6
2021 10 16,0:58:44,30,86.5
2021 10 16,0:58:59,29.9,86.5
2021 10 16,0:59:15,29.9,86.5
2021 10 16,0:59:30,29.9,86.5
2021 10 16,0:59:51,29.9,86.6
2021 10 16,1:00:06,29.9,86.5
2021 10 16,1:00:22,29.9,86.6
2021 10 16,1:00:37,30,86.7
2021 10 16,1:00:56,29.9,86.6
2021 10 16,1:01:14,29.9,86.7
2021 10 16,1:01:34,29.9,86.6
2021 10 16,1:01:52,29.9,86.6
2021 10 16,1:02:08,29.9,86.6
2021 10 16,1:02:28,29.9,86.7
2021 10 16,1:02:49,29.9,86.7
2021 10 16,1:03:05,29.9,86.7
2021 10 16,1:03:20,29.9,86.7
2021 10 16,1:03:36,29.9,86.7
2021 10 16,1:03:54,29.9,86.7
2021 10 16,1:04:12,29.9,86.7
2021 10 16,1:04:27,29.9,86.7
2021 10 16,1:04:43,29.9,86.7
2021 10 16,1:05:01,30,87
2021 10 16,1:05:24,30,86.7
2021 10 16,1:05:40,30,86.6
2021 10 16,1:05:55,29.9,86.6
2021 10 16,1:06:13,30,86.7
2021 10 16,1:06:29,29.9,86.8
2021 10 16,1:06:44,30,86.7
2021 10 16,1:07:00,29.9,86.6
2021 10 16,1:07:15,29.9,86.6
2021 10 16,1:07:31,30,86.6
2021 10 16,1:07:49,29.9,86.6
2021 10 16,1:08:07,29.9,86.8
2021 10 16,1:08:25,29.9,86.6
2021 10 16,1:08:41,29.9,86.6
2021 10 16,1:09:16,29.9,86.5
2021 10 16,1:09:37,29.9,86.5
2021 10 16,1:09:53,29.9,86.5
2021 10 16,1:10:08,29.9,86.5
2021 10 16,1:10:24,29.9,86.6
2021 10 16,1:10:52,29.9,86.6
2021 10 16,1:11:20,29.9,86.6
2021 10 16,1:11:38,29.9,86.6
2021 10 16,1:11:56,29.9,86.7
2021 10 16,1:12:29,29.9,86.7
2021 10 16,1:13:00,29.9,86.8
2021 10 16,1:13:16,29.9,86.7
2021 10 16,1:13:31,29.9,86.7
2021 10 16,1:13:47,29.9,86.8
2021 10 16,1:14:05,29.9,86.7
2021 10 16,1:14:33,29.9,86.6
2021 10 16,1:15:09,29.9,86.6
2021 10 16,1:15:27,29.9,86.6
2021 10 16,1:15:47,29.9,86.6
2021 10 16,1:16:05,29.9,86.6
2021 10 16,1:16:24,29.9,86.6
2021 10 16,1:16:39,29.9,86.6
2021 10 16,1:16:55,29.9,86.7
2021 10 16,1:17:13,29.9,86.8
2021 10 16,1:17:46,29.9,86.8
2021 10 16,1:18:01,29.9,86.7
2021 10 16,1:18:17,29.9,86.8
2021 10 16,1:18:35,29.9,86.8
2021 10 16,1:18:51,29.9,86.8
2021 10 16,1:19:06,29.9,86.8
2021 10 16,1:19:29,29.9,86.8
2021 10 16,1:19:45,29.9,86.8
2021 10 16,1:20:05,29.9,86.9
2021 10 16,1:20:29,29.9,86.9
2021 10 16,1:20:47,29.9,87
2021 10 16,1:21:02,29.9,86.9
2021 10 16,1:21:18,29.9,87
2021 10 16,1:21:33,29.9,87
2021 10 16,1:22:09,29.8,86.8
2021 10 16,1:22:35,29.9,87
2021 10 16,1:22:50,29.9,87
2021 10 16,1:23:06,29.9,86.9
2021 10 16,1:23:21,29.9,87.3
2021 10 16,1:23:42,29.9,87
2021 10 16,1:23:57,29.9,87.1
2021 10 16,1:24:13,29.9,87.1
2021 10 16,1:24:29,29.9,87.1
2021 10 16,1:24:49,29.8,87
2021 10 16,1:25:05,29.8,87
2021 10 16,1:25:20,29.9,87.1
2021 10 16,1:25:36,29.9,87.1
2021 10 16,1:25:51,29.8,87.1
2021 10 16,1:26:07,29.8,87.1
2021 10 16,1:26:40,29.9,87.1
2021 10 16,1:27:06,29.9,87.1
2021 10 16,1:27:21,29.9,87
2021 10 16,1:27:42,29.9,87.1
2021 10 16,1:27:57,29.9,87.1
2021 10 16,1:28:13,29.9,87.1
2021 10 16,1:28:31,29.9,86.9
2021 10 16,1:28:47,29.9,87
2021 10 16,1:29:05,29.9,86.9
2021 10 16,1:29:20,29.9,86.9
2021 10 16,1:29:36,29.9,86.9
2021 10 16,1:29:54,29.9,86.9
2021 10 16,1:30:09,29.9,86.9
2021 10 16,1:30:25,29.9,86.9
2021 10 16,1:30:40,29.9,86.9
2021 10 16,1:30:58,29.9,87
2021 10 16,1:31:14,29.9,87
2021 10 16,1:31:32,29.9,86.9
2021 10 16,1:31:48,29.9,86.9
2021 10 16,1:32:06,29.9,86.8
2021 10 16,1:32:21,29.9,86.8
2021 10 16,1:32:44,29.9,86.8
2021 10 16,1:33:00,30,86.9
2021 10 16,1:33:15,29.9,86.8
2021 10 16,1:33:31,29.9,86.8
2021 10 16,1:33:52,29.9,86.8
2021 10 16,1:34:10,30,86.9
2021 10 16,1:34:25,30,86.9
2021 10 16,1:34:41,29.9,86.8
2021 10 16,1:35:11,29.9,86.8
2021 10 16,1:35:29,29.9,86.8
2021 10 16,1:35:45,29.9,86.9
2021 10 16,1:36:01,29.9,86.9
2021 10 16,1:36:19,29.9,87
2021 10 16,1:36:34,29.9,87
2021 10 16,1:36:52,29.9,87.2
2021 10 16,1:37:13,29.9,87.2
2021 10 16,1:37:28,29.9,87.2
2021 10 16,1:37:51,29.9,87.2
2021 10 16,1:38:07,29.9,87.2
2021 10 16,1:38:55,29.9,87.2
2021 10 16,1:39:19,29.9,87.2
2021 10 16,1:39:34,29.9,87.1
2021 10 16,1:39:50,29.9,87.1
2021 10 16,1:40:05,29.9,87.2
2021 10 16,1:40:23,29.9,87.2
2021 10 16,1:40:46,29.9,87.2
2021 10 16,1:41:02,29.9,87.1
2021 10 16,1:41:17,29.9,87.2
2021 10 16,1:41:38,29.9,87.2
2021 10 16,1:41:54,29.9,87.2
2021 10 16,1:42:17,29.9,87.2
2021 10 16,1:42:32,29.9,87.4
2021 10 16,1:42:48,29.9,87.2
2021 10 16,1:43:16,29.9,87.3
2021 10 16,1:43:37,29.9,87.2
2021 10 16,1:43:52,29.9,87.4
2021 10 16,1:44:10,29.9,87.2
2021 10 16,1:44:31,29.8,87.2
2021 10 16,1:44:46,29.9,87.2
2021 10 16,1:45:02,29.9,87.3
2021 10 16,1:45:25,29.9,87.5
2021 10 16,1:45:41,29.9,87.3
2021 10 16,1:45:59,29.9,87.4
2021 10 16,1:46:14,29.9,87.4
2021 10 16,1:46:30,29.9,87.4
2021 10 16,1:46:48,29.9,87.5
2021 10 16,1:47:03,29.9,87.4
2021 10 16,1:47:19,29.9,87.4
2021 10 16,1:47:34,29.9,87.4
2021 10 16,1:47:53,29.8,87.3
2021 10 16,1:48:08,29.9,87.5
2021 10 16,1:48:44,29.8,87.4
2021 10 16,1:49:02,29.8,87.4
2021 10 16,1:49:30,29.8,87.5
2021 10 16,1:49:46,29.8,87.4
2021 10 16,1:50:01,29.8,87.5
2021 10 16,1:50:17,29.8,87.5
2021 10 16,1:50:32,29.8,87.5
2021 10 16,1:50:48,29.8,87.5
2021 10 16,1:51:03,29.8,87.5
2021 10 16,1:51:19,29.8,87.6
2021 10 16,1:51:34,29.8,87.7
2021 10 16,1:51:50,29.8,87.6
2021 10 16,1:52:05,29.8,87.6
2021 10 16,1:52:46,29.7,87.6
2021 10 16,1:53:02,29.7,87.6
2021 10 16,1:53:17,29.7,87.7
2021 10 16,1:53:43,29.7,87.8
2021 10 16,1:53:59,29.7,87.8
2021 10 16,1:54:27,29.7,87.9
2021 10 16,1:54:42,29.7,87.9
2021 10 16,1:55:08,29.7,88
2021 10 16,1:55:29,29.7,87.9
2021 10 16,1:55:44,29.7,87.9
2021 10 16,1:56:00,29.7,87.9
2021 10 16,1:56:20,29.7,87.9
2021 10 16,1:56:41,29.8,87.9
2021 10 16,1:56:56,29.7,87.8
2021 10 16,1:57:12,29.7,87.8
2021 10 16,1:57:40,29.8,87.8
2021 10 16,1:57:58,29.8,87.7
2021 10 16,1:58:14,29.8,87.7
2021 10 16,1:58:32,29.8,87.3
2021 10 16,1:58:47,29.8,87.7
2021 10 16,1:59:03,29.8,87.7
2021 10 16,1:59:18,29.8,87.7
2021 10 16,1:59:34,29.8,87.7
2021 10 16,1:59:50,29.8,87.6
2021 10 16,2:00:05,29.8,87.7
2021 10 16,2:00:21,29.8,87.7
2021 10 16,2:00:36,29.8,87.6
2021 10 16,2:00:54,29.8,87.5
2021 10 16,2:01:10,29.8,87.6
2021 10 16,2:01:25,29.9,87.7
2021 10 16,2:01:41,29.8,87.6
2021 10 16,2:01:56,29.8,87.6
2021 10 16,2:02:19,29.9,87.7
2021 10 16,2:02:35,29.8,87.6
2021 10 16,2:03:03,29.8,87.6
2021 10 16,2:03:21,29.8,87.6
2021 10 16,2:03:39,29.8,87.6
2021 10 16,2:03:55,29.8,87.7
2021 10 16,2:04:13,29.8,87.7
